,andressa,eric,keli
camadas - 2680,,,CONTEXTOgeologicoDeBACIA
sinclinal - 2745,,,CONTEXTOgeologicoDeBACIA
calha sinclinal - 2807,,,CONTEXTOgeologicoDeBACIA
pacote sedimentar - 2872,,,CONTEXTOgeologicoDeBACIA
substrato - 2877,,,CONTEXTOgeologicoDeBACIA
falhas - 2913,,,CONTEXTOgeologicoDeBACIA
substrato - 2936,,,CONTEXTOgeologicoDeBACIA
cinturões - 2946,,,CONTEXTOgeologicoDeBACIA
falhas - 2951,,,CONTEXTOgeologicoDeBACIA
dobradas - 2965,,,CONTEXTOgeologicoDeBACIA
cinturões - 2977,,,CONTEXTOgeologicoDeBACIA
substrato - 2989,,,CONTEXTOgeologicoDeBACIA
pacote estratigráfico - 2996,,,CONTEXTOgeologicoDeBACIA
substratos - 3030,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 3141,,,CONTEXTOgeologicoDeBACIA
Deformação - 3217,,,CONTEXTOgeologicoDeBACIA
­falhas - 3340,,,CONTEXTOgeologicoDeBACIA
falhas - 3358,,,CONTEXTOgeologicoDeBACIA
depressões antiformais - 3387,,,CONTEXTOgeologicoDeBACIA
deformação - 3415,,,CONTEXTOgeologicoDeBACIA
tectônica - 3427,,,CONTEXTOgeologicoDeBACIA
afloramento - 3450,,,outro
Sistema de Dobras e Empurrões - 3477,,,CONTEXTOgeologicoDeBACIA
cinturão - 3487,,,CONTEXTOgeologicoDeBACIA
sistemas deformacionais - 3498,,,CONTEXTOgeologicoDeBACIA
intracratônica - 3510,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobramentos e Empurrões - 3547,,,CONTEXTOgeologicoDeBACIA
cinturão - 3553,,,CONTEXTOgeologicoDeBACIA
tectônica - 3581,,,CONTEXTOgeologicoDeBACIA
dobras - 3588,,,CONTEXTOgeologicoDeBACIA
depósitos - 3601,,,CONTEXTOgeologicoDeBACIA
calha sinclinal - 3639,,,CONTEXTOgeologicoDeBACIA
tectônica - 3684,,,CONTEXTOgeologicoDeBACIA
560 - 580 Ma - 3692,,,idade
deformação - 3708,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 3726,,,CONTEXTOgeologicoDeBACIA
tectônico - 3771,,,CONTEXTOgeologicoDeBACIA
dobras - 3786,,,CONTEXTOgeologicoDeBACIA
falhas - 3788,,,CONTEXTOgeologicoDeBACIA
fraturas - 3794,,,CONTEXTOgeologicoDeBACIA
falhas direcionais - 3824,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobras e Empurrões - 3869,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 3889,,,CONTEXTOgeologicoDeBACIA
sinclinal - 3919,,,CONTEXTOgeologicoDeBACIA
substrato - 3925,,,CONTEXTOgeologicoDeBACIA
substrato - 3954,,,CONTEXTOgeologicoDeBACIA
depressões antiformais - 3970,,,CONTEXTOgeologicoDeBACIA
deformação - 3983,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 4079,,,CONTEXTOgeologicoDeBACIA
deformação - 4150,,,CONTEXTOgeologicoDeBACIA
cinturão epidérmico - 4175,,,CONTEXTOgeologicoDeBACIA
Sistema de Dobras e Empurrões - 4201,,,CONTEXTOgeologicoDeBACIA
deformação - 4208,,,CONTEXTOgeologicoDeBACIA
faixas marginais - 4211,,,CONTEXTOgeologicoDeBACIA
sistema de nappes - 4221,,,outro
